epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,534.827,1.63426,2.34065,0.98052,0.80932,0.15392,0.19418,0.0938,1.35312,1.53977,0.91208,0.000236197,0.000236197,0.000236197
2,1072.45,1.41431,1.20693,0.92485,0.7627,0.19609,0.2112,0.11462,1.26704,1.08923,0.88645,0.000464808,0.000464808,0.000464808
3,1582.25,1.37095,1.08167,0.90897,0.76426,0.2214,0.26508,0.15447,1.273,1.16393,0.89324,0.000683994,0.000683994,0.000683994
4,2086.88,1.36066,1.02105,0.90777,0.86801,0.22081,0.26019,0.14856,1.25127,0.88306,0.88486,0.000671588,0.000671588,0.000671588
5,2586.24,1.32693,0.94368,0.89455,0.8229,0.27488,0.31462,0.19687,1.16568,0.82495,0.87417,0.000657451,0.000657451,0.000657451
6,3069.32,1.2925,0.87198,0.88919,0.81667,0.30494,0.42924,0.28933,1.19411,0.77456,0.87463,0.000643314,0.000643314,0.000643314
7,3547.54,1.25693,0.83565,0.88702,0.78451,0.34781,0.38126,0.25265,1.18422,0.76846,0.87829,0.000629177,0.000629177,0.000629177
8,4033.89,1.26452,0.82345,0.88649,0.71139,0.37502,0.44291,0.29761,1.18654,0.75773,0.87357,0.00061504,0.00061504,0.00061504
9,4512.02,1.23971,0.79048,0.88161,0.70272,0.39944,0.48091,0.33186,1.12923,0.69891,0.86463,0.000600902,0.000600902,0.000600902
10,4985.58,1.24302,0.76722,0.88758,0.68238,0.60585,0.61473,0.43817,1.13658,0.69268,0.86522,0.000586765,0.000586765,0.000586765
11,5459.33,1.20547,0.73199,0.87802,0.81347,0.50068,0.62306,0.45081,1.12503,0.68281,0.86292,0.000572628,0.000572628,0.000572628
12,5932.27,1.2099,0.71879,0.87821,0.69544,0.54047,0.63747,0.46599,1.09687,0.65216,0.85753,0.000558491,0.000558491,0.000558491
13,6403.68,1.19813,0.7147,0.87466,0.59553,0.67084,0.68528,0.50867,1.09081,0.63731,0.85788,0.000544354,0.000544354,0.000544354
14,6878.12,1.17229,0.69101,0.87167,0.70628,0.67315,0.70584,0.53053,1.07581,0.61436,0.85602,0.000530216,0.000530216,0.000530216
