epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,103.76,1.26704,1.25327,0.90903,0.74482,0.41116,0.44159,0.28115,1.15797,0.97199,0.88658,0.000236197,0.000236197,0.000236197
2,197.426,1.19362,0.78416,0.8941,0.78424,0.56048,0.62234,0.46303,1.10635,0.79786,0.87513,0.000464808,0.000464808,0.000464808
3,295.222,1.19694,0.74569,0.89078,0.70025,0.52673,0.61737,0.4623,1.0871,0.81038,0.87321,0.000683994,0.000683994,0.000683994
4,388.759,1.19155,0.74091,0.88882,0.75269,0.5517,0.6661,0.44842,1.10742,0.73784,0.87601,0.000671588,0.000671588,0.000671588
5,481.667,1.15749,0.69437,0.88161,0.75834,0.52838,0.66816,0.46448,1.06593,0.74576,0.86739,0.000657451,0.000657451,0.000657451
6,574.555,1.147,0.68486,0.88378,0.80094,0.63141,0.68683,0.49857,1.01634,0.62148,0.8605,0.000643314,0.000643314,0.000643314
7,671.385,1.12467,0.64326,0.8733,0.6521,0.70202,0.70488,0.51053,1.0536,0.63211,0.85818,0.000629177,0.000629177,0.000629177
8,768.579,1.10968,0.63524,0.86941,0.85578,0.51284,0.70523,0.5196,1.01619,0.59973,0.85399,0.00061504,0.00061504,0.00061504
9,867.213,1.08265,0.61534,0.86821,0.85795,0.6668,0.80403,0.57976,0.96,0.57486,0.84647,0.000600902,0.000600902,0.000600902
10,959.373,1.07133,0.5911,0.86233,0.72325,0.78296,0.79582,0.61346,0.97213,0.5442,0.84859,0.000586765,0.000586765,0.000586765
11,1052.9,1.07673,0.58583,0.86574,0.92443,0.73117,0.83047,0.63258,0.94769,0.53639,0.84529,0.000572628,0.000572628,0.000572628
12,1150.92,1.06334,0.58773,0.85955,0.8599,0.71259,0.79067,0.58286,0.98196,0.55135,0.84622,0.000558491,0.000558491,0.000558491
13,1244.91,1.06548,0.57186,0.86379,0.73854,0.72429,0.74657,0.56682,0.9573,0.52656,0.84663,0.000544354,0.000544354,0.000544354
14,1339.76,1.04217,0.55962,0.85718,0.79129,0.7396,0.79494,0.59577,0.93319,0.51598,0.84014,0.000530216,0.000530216,0.000530216
15,1432.06,1.02943,0.5487,0.85725,0.8946,0.74107,0.8347,0.61386,0.97674,0.51714,0.84342,0.000516079,0.000516079,0.000516079
16,1524.45,1.03133,0.53381,0.85329,0.83079,0.74029,0.82618,0.62907,0.93572,0.50426,0.84129,0.000501942,0.000501942,0.000501942
17,1620,1.02351,0.53537,0.85194,0.87154,0.77037,0.83945,0.65041,0.91779,0.49955,0.8389,0.000487805,0.000487805,0.000487805
18,1715.9,1.00068,0.52184,0.85073,0.86092,0.75229,0.81596,0.62831,0.92698,0.49042,0.84023,0.000473668,0.000473668,0.000473668
19,1813.68,1.01577,0.53252,0.84815,0.86498,0.77419,0.83516,0.6419,0.90518,0.4835,0.83591,0.00045953,0.00045953,0.00045953
20,1905.24,0.98777,0.51545,0.84929,0.8427,0.7607,0.82582,0.63939,0.90699,0.48359,0.83569,0.000445393,0.000445393,0.000445393
21,2003.03,0.99499,0.50446,0.84709,0.84594,0.79094,0.83827,0.64204,0.93225,0.47919,0.84051,0.000431256,0.000431256,0.000431256
