epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,146.745,1.24018,1.59231,0.95711,0.56552,0.48134,0.50303,0.38106,1.03325,0.69146,0.94103,0.000237095,0.000237095,0.000237095
2,285.06,1.16035,0.79273,0.93072,0.73065,0.55067,0.57324,0.44027,1.00403,0.72534,0.93396,0.000461657,0.000461657,0.000461657
3,420.523,1.12835,0.71959,0.92038,0.79194,0.49568,0.56361,0.4223,0.99061,0.6726,0.93344,0.000672754,0.000672754,0.000672754
4,554.328,1.12075,0.70204,0.92107,0.90047,0.53008,0.67897,0.50159,1.01515,0.59565,0.9412,0.000653412,0.000653412,0.000653412
5,688.792,1.08109,0.65356,0.91228,0.84137,0.59595,0.70993,0.54099,0.95799,0.59029,0.92151,0.000633216,0.000633216,0.000633216
6,824.113,1.08042,0.63517,0.91157,0.79858,0.64635,0.73108,0.54703,0.94692,0.55521,0.91616,0.00061302,0.00061302,0.00061302
7,961.095,1.0603,0.60995,0.90447,0.8906,0.64656,0.77431,0.58642,0.91979,0.56787,0.91021,0.000592824,0.000592824,0.000592824
8,1097.36,1.04143,0.59791,0.90146,0.76018,0.74013,0.79718,0.61532,0.92175,0.52169,0.90776,0.000572628,0.000572628,0.000572628
9,1233.76,1.03619,0.56448,0.89722,0.72703,0.80388,0.795,0.61785,0.91935,0.50585,0.90692,0.000552432,0.000552432,0.000552432
10,1372.52,1.04017,0.55756,0.89413,0.84723,0.77656,0.82087,0.64159,0.92694,0.5013,0.90814,0.000532236,0.000532236,0.000532236
11,1509.64,1.02696,0.54901,0.88976,0.83957,0.75549,0.80392,0.6188,0.89768,0.5018,0.89593,0.00051204,0.00051204,0.00051204
12,1646.06,1.02193,0.55439,0.89039,0.81282,0.81797,0.86216,0.66903,0.8871,0.47492,0.89436,0.000491844,0.000491844,0.000491844
13,1781.9,1.01195,0.53923,0.8891,0.88474,0.72189,0.83191,0.64905,0.88828,0.47839,0.89511,0.000471648,0.000471648,0.000471648
14,1917.56,1.01272,0.53101,0.88567,0.92436,0.75087,0.84442,0.66711,0.87973,0.46676,0.8946,0.000451452,0.000451452,0.000451452
15,2050.98,0.98482,0.51292,0.87965,0.89775,0.80398,0.87437,0.7041,0.85209,0.46378,0.88794,0.000431256,0.000431256,0.000431256
16,2185.75,0.97452,0.50148,0.88122,0.85095,0.82734,0.86088,0.67461,0.86864,0.45007,0.89355,0.00041106,0.00041106,0.00041106
17,2321.72,0.98105,0.49924,0.87841,0.84757,0.86174,0.86069,0.6871,0.86112,0.44851,0.88825,0.000390864,0.000390864,0.000390864
18,2457.07,0.97972,0.5011,0.88086,0.85495,0.80157,0.86429,0.69072,0.86554,0.4663,0.89202,0.000370668,0.000370668,0.000370668
19,2593.47,0.97523,0.49538,0.87659,0.88112,0.81921,0.87623,0.69912,0.84431,0.43996,0.88479,0.000350472,0.000350472,0.000350472
20,2729.54,0.95625,0.4794,0.87574,0.88778,0.83427,0.88772,0.71581,0.84809,0.43341,0.88383,0.000330276,0.000330276,0.000330276
21,2865.84,0.95501,0.47422,0.87213,0.8848,0.83053,0.87468,0.69725,0.83927,0.42873,0.88062,0.00031008,0.00031008,0.00031008
22,3002.26,0.94923,0.46978,0.87296,0.82512,0.8276,0.86875,0.68749,0.84225,0.42383,0.88421,0.000289884,0.000289884,0.000289884
23,3138.45,0.95446,0.46695,0.87061,0.89108,0.84103,0.8787,0.7127,0.84286,0.41816,0.88194,0.000269688,0.000269688,0.000269688
24,3273.03,0.93884,0.45483,0.86784,0.9166,0.87202,0.89595,0.71903,0.83521,0.41112,0.88075,0.000249492,0.000249492,0.000249492
25,3407.18,0.92761,0.45376,0.86625,0.87751,0.85439,0.89359,0.71909,0.83595,0.4082,0.88003,0.000229296,0.000229296,0.000229296
26,3543.75,0.91328,0.44923,0.86893,0.86422,0.86121,0.88676,0.71041,0.84557,0.42478,0.88023,0.0002091,0.0002091,0.0002091
27,3677.14,0.91218,0.43922,0.86663,0.88468,0.83359,0.89692,0.71089,0.84152,0.41568,0.88268,0.000188904,0.000188904,0.000188904
28,3808.94,0.90107,0.43279,0.86728,0.90147,0.84341,0.89834,0.71396,0.83358,0.41489,0.87742,0.000168708,0.000168708,0.000168708
29,3942,0.88948,0.42473,0.86505,0.91526,0.82863,0.89842,0.72492,0.83039,0.40822,0.88001,0.000148512,0.000148512,0.000148512
30,4075.17,0.88279,0.4225,0.86114,0.89762,0.82632,0.89201,0.70724,0.82636,0.40679,0.87607,0.000128316,0.000128316,0.000128316
31,4208.12,0.88432,0.41534,0.86015,0.90013,0.83374,0.89988,0.72642,0.82182,0.40224,0.87921,0.00010812,0.00010812,0.00010812
32,4343.09,0.87159,0.41035,0.85754,0.92143,0.84733,0.91396,0.73746,0.8211,0.39403,0.87789,8.7924e-05,8.7924e-05,8.7924e-05
33,4475.07,0.86932,0.40374,0.85839,0.87757,0.86762,0.90399,0.73317,0.81598,0.38954,0.87508,6.7728e-05,6.7728e-05,6.7728e-05
34,4609.35,0.85546,0.39747,0.85384,0.9128,0.85798,0.91353,0.73011,0.81183,0.38617,0.87479,4.7532e-05,4.7532e-05,4.7532e-05
35,4742.97,0.84054,0.39046,0.85061,0.91785,0.8596,0.91334,0.73497,0.80987,0.38392,0.87372,2.7336e-05,2.7336e-05,2.7336e-05
